Father,Son
165.1,151.892
160.78199999999998,160.52800000000002
165.1,160.78199999999998
167.132,159.512
155.19400000000002,163.322
160.02,163.068
166.116,162.814
164.33800000000002,162.56
167.89399999999998,164.08399999999997
170.18,162.56
149.86,165.608
159.766,166.116
161.798,166.87800000000001
162.814,166.116
164.33800000000002,165.862
165.608,164.59199999999998
168.656,165.1
166.624,166.37
171.19600000000003,165.35399999999998
169.672,166.37
172.212,165.35399999999998
176.53,166.37
158.75,169.164
162.052,168.656
163.83,167.89399999999998
165.1,167.64000000000001
164.33800000000002,167.64000000000001
166.87800000000001,168.91
166.37,166.87800000000001
166.624,167.64000000000001
169.92600000000002,167.38600000000002
169.164,167.38600000000002
168.91,168.91
172.466,167.132
173.482,168.402
171.958,167.89399999999998
173.99,168.402
176.276,168.402
182.37199999999999,168.656
158.496,170.68800000000002
163.83,171.45
163.83,170.18
162.306,169.672
166.116,170.18
165.1,169.672
166.87800000000001,176.022
174.49800000000002,175.51399999999998
168.91,156.71800000000002
164.846,166.87800000000001
176.784,175.26
164.59199999999998,171.19600000000003
165.862,170.68800000000002
167.132,170.434
167.132,170.942
166.624,171.70399999999998
167.38600000000002,171.45
167.132,169.92600000000002
170.434,171.70399999999998
169.164,170.68800000000002
171.19600000000003,169.672
170.942,170.68800000000002
169.164,171.45
173.228,171.70399999999998
172.212,170.68800000000002
173.482,171.45
172.974,171.19600000000003
175.26,171.70399999999998
175.00600000000003,170.942
176.784,169.672
178.81600000000003,169.418
177.8,169.92600000000002
184.912,171.70399999999998
159.512,172.72
159.766,173.99
162.306,172.72
163.83,173.482
163.83,173.482
167.64000000000001,173.482
167.132,173.228
167.64000000000001,173.99
166.37,172.974
166.87800000000001,173.482
169.672,172.72
169.418,174.244
170.18,172.466
169.92600000000002,172.974
169.672,173.73600000000002
170.434,172.466
171.958,173.228
173.482,172.72
171.70399999999998,173.228
173.73600000000002,172.466
171.958,174.244
174.49800000000002,172.72
176.022,173.482
174.49800000000002,172.466
175.51399999999998,174.244
176.022,173.228
174.244,174.244
176.784,172.974
178.81600000000003,173.73600000000002
180.848,172.212
179.832,174.244
182.11800000000002,172.466
186.182,172.212
160.02,174.75199999999998
161.798,176.784
166.116,177.038
164.08399999999997,176.276
168.656,177.038
167.132,175.768
166.87800000000001,176.53
167.89399999999998,176.784
168.91,176.022
169.164,176.53
169.164,174.49800000000002
171.958,176.022
173.99,175.768
172.212,175.768
171.70399999999998,176.53
172.974,175.51399999999998
175.768,175.00600000000003
174.49800000000002,176.53
174.244,176.022
174.244,175.768
174.244,174.49800000000002
178.81600000000003,176.022
177.8,175.00600000000003
178.054,176.022
178.30800000000002,175.768
181.102,176.784
180.086,175.51399999999998
183.388,175.51399999999998
190.5,175.26
164.846,177.54600000000002
166.624,178.054
166.87800000000001,177.54600000000002
167.38600000000002,178.56199999999998
167.38600000000002,179.07
171.19600000000003,179.07
171.45,177.292
171.70399999999998,178.81600000000003
173.99,177.8
173.99,177.292
172.974,179.578
176.53,178.30800000000002
175.51399999999998,178.054
176.276,177.8
176.276,178.56199999999998
176.53,177.292
178.30800000000002,177.8
177.54600000000002,177.54600000000002
178.81600000000003,177.038
180.086,178.054
181.102,177.8
183.134,179.578
183.388,177.8
191.51600000000002,178.054
163.83,181.102
168.656,179.832
166.624,181.35600000000002
169.672,180.848
169.92600000000002,182.11800000000002
173.228,181.35600000000002
171.45,179.578
172.212,181.102
175.26,180.34
176.022,181.102
174.49800000000002,180.086
177.038,181.102
178.56199999999998,181.86399999999998
177.8,180.848
178.30800000000002,180.34
180.086,181.35600000000002
180.848,181.86399999999998
183.89600000000002,180.594
185.42000000000002,180.086
189.992,182.11800000000002
171.19600000000003,183.89600000000002
170.942,182.626
172.212,183.642
176.022,183.388
174.49800000000002,184.15
177.8,182.88
177.292,183.642
179.578,184.15
180.594,183.642
184.15,182.88
184.15,183.388
171.45,184.912
173.228,185.42000000000002
174.75199999999998,185.16600000000003
177.54600000000002,185.928
181.61,186.944
179.832,185.16600000000003
182.626,185.928
160.274,188.722
173.228,188.97600000000003
